config,seed,trial,clean_best_so_far
③: gp_prior only,46,5,0.48320003916499693
③: gp_prior only,46,6,0.48320003916499693
③: gp_prior only,46,7,0.5681570922054815
③: gp_prior only,46,8,0.5945205442132762
③: gp_prior only,46,9,0.6065141163821464
③: gp_prior only,46,10,0.6053042897857007
③: gp_prior only,46,11,0.6053042897857007
③: gp_prior only,46,12,0.6053042897857007
③: gp_prior only,46,13,0.6053042897857007
③: gp_prior only,46,14,0.6053042897857007
③: gp_prior only,46,15,0.6053042897857007
③: gp_prior only,46,16,0.597416809100283
③: gp_prior only,46,17,0.597416809100283
③: gp_prior only,46,18,0.597416809100283
③: gp_prior only,46,19,0.597416809100283
③: gp_prior only,46,20,0.597416809100283
③: gp_prior only,46,21,0.597416809100283
①: full domain knowledge,42,1,0.30064198627220906
①: full domain knowledge,42,2,0.5151725753891216
①: full domain knowledge,42,3,0.5075260754860572
①: full domain knowledge,42,4,0.5075260754860572
①: full domain knowledge,42,5,0.5075260754860572
①: full domain knowledge,42,6,0.5075260754860572
①: full domain knowledge,42,7,0.5214727547334589
①: full domain knowledge,42,8,0.5214727547334589
①: full domain knowledge,42,9,0.5214727547334589
①: full domain knowledge,42,10,0.6022801302787885
①: full domain knowledge,42,11,0.6022801302787885
①: full domain knowledge,42,12,0.6062072183372608
①: full domain knowledge,42,13,0.6062072183372608
①: full domain knowledge,42,14,0.6062072183372608
①: full domain knowledge,42,15,0.6062072183372608
①: full domain knowledge,42,16,0.6062072183372608
①: full domain knowledge,42,17,0.6062072183372608
①: full domain knowledge,42,18,0.6062072183372608
①: full domain knowledge,42,19,0.6062072183372608
①: full domain knowledge,42,20,0.6062072183372608
①: full domain knowledge,42,21,0.6062072183372608
①: full domain knowledge,43,1,0.09216088394989201
①: full domain knowledge,43,2,0.10228478812081578
①: full domain knowledge,43,3,0.4469449783346927
①: full domain knowledge,43,4,0.4469449783346927
①: full domain knowledge,43,5,0.4469449783346927
①: full domain knowledge,43,6,0.5663419037277398
①: full domain knowledge,43,7,0.5663419037277398
①: full domain knowledge,43,8,0.5868732166983289
①: full domain knowledge,43,9,0.6026333829140867
①: full domain knowledge,43,10,0.5955133991224981
①: full domain knowledge,43,11,0.5955133991224981
①: full domain knowledge,43,12,0.5955133991224981
①: full domain knowledge,43,13,0.5955133991224981
①: full domain knowledge,43,14,0.5955133991224981
①: full domain knowledge,43,15,0.5955133991224981
①: full domain knowledge,43,16,0.5955133991224981
①: full domain knowledge,43,17,0.5955133991224981
①: full domain knowledge,43,18,0.6060994454095516
①: full domain knowledge,43,19,0.6060994454095516
①: full domain knowledge,43,20,0.6060994454095516
①: full domain knowledge,43,21,0.6060994454095516
①: full domain knowledge,44,1,0.490520292401848
①: full domain knowledge,44,2,0.490520292401848
①: full domain knowledge,44,3,0.490520292401848
①: full domain knowledge,44,4,0.490520292401848
①: full domain knowledge,44,5,0.490520292401848
①: full domain knowledge,44,6,0.490520292401848
①: full domain knowledge,44,7,0.5572624013508137
①: full domain knowledge,44,8,0.5572624013508137
①: full domain knowledge,44,9,0.6039016421813721
①: full domain knowledge,44,10,0.6039016421813721
①: full domain knowledge,44,11,0.6039016421813721
①: full domain knowledge,44,12,0.6065297726433387
①: full domain knowledge,44,13,0.6065297726433387
①: full domain knowledge,44,14,0.6065297726433387
①: full domain knowledge,44,15,0.6065297726433387
①: full domain knowledge,44,16,0.6065297726433387
①: full domain knowledge,44,17,0.6065297726433387
①: full domain knowledge,44,18,0.6065297726433387
①: full domain knowledge,44,19,0.6065297726433387
①: full domain knowledge,44,20,0.6065297726433387
①: full domain knowledge,44,21,0.6065297726433387
①: full domain knowledge,45,1,0.1529420458340148
①: full domain knowledge,45,2,0.2636835884237844
①: full domain knowledge,45,3,0.4969742837987084
①: full domain knowledge,45,4,0.48989068524803253
①: full domain knowledge,45,5,0.48989068524803253
①: full domain knowledge,45,6,0.48989068524803253
①: full domain knowledge,45,7,0.48989068524803253
①: full domain knowledge,45,8,0.519242258277034
①: full domain knowledge,45,9,0.519242258277034
①: full domain knowledge,45,10,0.579347516859993
①: full domain knowledge,45,11,0.6048697208839002
①: full domain knowledge,45,12,0.6048697208839002
①: full domain knowledge,45,13,0.6048697208839002
①: full domain knowledge,45,14,0.6048697208839002
①: full domain knowledge,45,15,0.6048697208839002
①: full domain knowledge,45,16,0.6048697208839002
①: full domain knowledge,45,17,0.6046713709337572
①: full domain knowledge,45,18,0.6046713709337572
①: full domain knowledge,45,19,0.6046713709337572
①: full domain knowledge,45,20,0.6046713709337572
①: full domain knowledge,45,21,0.6046713709337572
①: full domain knowledge,46,1,0.38764724215179136
①: full domain knowledge,46,2,0.38764724215179136
①: full domain knowledge,46,3,0.4345708455086277
①: full domain knowledge,46,4,0.48320003916499693
①: full domain knowledge,46,5,0.48320003916499693
①: full domain knowledge,46,6,0.48320003916499693
①: full domain knowledge,46,7,0.6027012689654199
①: full domain knowledge,46,8,0.6027012689654199
①: full domain knowledge,46,9,0.6050459164043481
①: full domain knowledge,46,10,0.6050459164043481
①: full domain knowledge,46,11,0.6050459164043481
①: full domain knowledge,46,12,0.6050459164043481
①: full domain knowledge,46,13,0.6050459164043481
①: full domain knowledge,46,14,0.6050459164043481
①: full domain knowledge,46,15,0.606527303887988
①: full domain knowledge,46,16,0.606527303887988
①: full domain knowledge,46,17,0.606527303887988
①: full domain knowledge,46,18,0.606527303887988
①: full domain knowledge,46,19,0.606527303887988
①: full domain knowledge,46,20,0.606527303887988
①: full domain knowledge,46,21,0.606527303887988
④: Arrhenius mean only,42,1,0.30064198627220906
④: Arrhenius mean only,42,2,0.5151725753891216
④: Arrhenius mean only,42,3,0.5075260754860572
④: Arrhenius mean only,42,4,0.5075260754860572
④: Arrhenius mean only,42,5,0.5075260754860572
④: Arrhenius mean only,42,6,0.5075260754860572
④: Arrhenius mean only,42,7,0.6008273308306136
④: Arrhenius mean only,42,8,0.6065242159747639
④: Arrhenius mean only,42,9,0.6058410617780451
④: Arrhenius mean only,42,10,0.6058410617780451
④: Arrhenius mean only,42,11,0.6058410617780451
④: Arrhenius mean only,42,12,0.6058410617780451
④: Arrhenius mean only,42,13,0.6058410617780451
④: Arrhenius mean only,42,14,0.6064951788878215
④: Arrhenius mean only,42,15,0.6064951788878215
④: Arrhenius mean only,42,16,0.6064951788878215
